id,text,label,explanation
0,Published by the National Council for Law Reporting with the Authority of the Attorney-General,not_provision,"The paragraph is a publication statement, not a legal provision."
1,[Rev. 2022] CAP. 56 Public Order,not_provision,"The text appears to be a reference to a legal document or statute title, not a specific legal provision or clause."
2,Section 1. Short title 2. Interpretation,provision,"The paragraph contains sections that are part of a legal document, indicating specific provisions."
3,"PART II – QUASI-MILITARY ORGANISATIONS AND POLITICAL UNIFORMS 3. Prohibition of organisations equipped to usurp functions of police, etc. 4. Prohibition of uniforms, etc., in connexion with political objects",provision,"The paragraph outlines specific prohibitions related to quasi-military organizations and political uniforms, indicating legal provisions."
4,PART III – PUBLIC GATHERINGS 5. Regulation of Public meeting and Processions 6. Prohibition of offensive weapons at public meetings and processions 7. Power to prohibit entertainments and sporting events,provision,"The paragraph lists specific regulations and powers related to public gatherings, indicating legal provisions."
5,PART IV – CURFEW ORDERS AND CURFEW RESTRICTION ORDERS 8. Curfew orders 9. Curfew restriction orders,provision,"The paragraph lists specific sections related to curfew orders, indicating it is part of a legal provision."
6,"PART V – FLAGS, BANNERS AND EMBLEMS 10. [Repealed by Act No. 10 of 1997, Sch.]",provision,"The paragraph references a specific part and section of a legal document, indicating it is a provision, even though it mentions a repeal."
7,"PART VI – FURTHER PROVISIONS TO SAFEGUARD PUBLIC ORDER 11. Possession of offensive weapon in public place 12. [Repealed by Act No. 19 of 2014, s. 7.] 13. Award of compensation to sufferers from misconduct of inhabitants of area declared under section 106 of Cap. 84",provision,"The paragraph lists specific legal provisions related to safeguarding public order, including possession of offensive weapons and compensation awards."
8,"PART VII – GENERAL 14. Restriction on use of force 15. Service of documents 16. Presumption of authenticity of certificates 17. Penalty 18. Offences by corporations, societies, etc. 19. Offences to be cognisable; and consent of Director of Public Prosecutions 20. Proof of instigation, lawful authority or excuse 21. Jurisdiction 22. Regulations",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph lists sections of a legal document"
9,"[Date of assent: 13th June, 1950.]",not_provision,The text is a date and does not contain any legal rule or requirement.
10,"[Date of commencement: 13th June, 1950.]",error,"Non-JSON response: ```json
{
  ""label"": ""not_provision"",
  ""explanation"": ""The text is a date indicating when something"
11,"An Act of Parliament to make provision for the maintenance of public order, and for purposes connected therewith [Act No. 26 of 1950, Act No. 36 of 1950, Act No. 7 of 1958, Act No. 10 of 1958, Act No. 23 of 1960, Act No. 54 of 1960, Act No. 53 of 1960, Legal Notice 402 of 1963, Legal Notice 87 of 1964, Legal Notice 2 of 1964, Act No. 3 of 1964, Act No. 19 of 1964, Legal Notice 153 of 1965, Act No. 12 of 1968, Act No. 10 of 1997, Act No. 12 of 2012, Act No. 19 of 2014.]",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph describes an Act of Parliament tha"
12,This Act may be cited as the Public Order Act.,error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph provides a specific citation name "
13,"In this Act, except where the context otherwise requires—",provision,"The paragraph introduces a definition or interpretation section, which is a common type of provision in legal documents."
