id,text,label,explanation
0,Published by the National Council for Law Reporting with the Authority of the Attorney-General,not_provision,"This is a publication statement indicating the source and authority of the document, not a legal rule or obligation."
1,[Rev. 2022] CAP. 56 Public Order,not_provision,"This is a reference to a revised legal document and its title, not a standalone legal provision."
2,Section 1. Short title 2. Interpretation,not_provision,"This text appears to be a heading or part of a table of contents, indicating sections but not providing enforceable content."
3,"PART II – QUASI-MILITARY ORGANISATIONS AND POLITICAL UNIFORMS 3. Prohibition of organisations equipped to usurp functions of police, etc. 4. Prohibition of uniforms, etc., in connexion with political objects",not_provision,"The text is a part heading and a list of section titles, not standalone legal provisions."
4,PART III – PUBLIC GATHERINGS 5. Regulation of Public meeting and Processions 6. Prohibition of offensive weapons at public meetings and processions 7. Power to prohibit entertainments and sporting events,not_provision,"This text consists of part headings and section titles, which do not establish enforceable rules or obligations."
5,PART IV – CURFEW ORDERS AND CURFEW RESTRICTION ORDERS 8. Curfew orders 9. Curfew restriction orders,not_provision,"This text is a part heading and list of section titles, not a standalone legal provision."
6,"PART V – FLAGS, BANNERS AND EMBLEMS 10. [Repealed by Act No. 10 of 1997, Sch.]",not_provision,"The paragraph is a part heading and a note about a repealed section, which does not establish any legal rule or obligation."
7,"PART VI – FURTHER PROVISIONS TO SAFEGUARD PUBLIC ORDER 11. Possession of offensive weapon in public place 12. [Repealed by Act No. 19 of 2014, s. 7.] 13. Award of compensation to sufferers from misconduct of inhabitants of area declared under section 106 of Cap. 84",not_provision,"This text consists of a part heading and section titles, including a repealed section, which do not establish enforceable legal rules or obligations."
8,"PART VII – GENERAL 14. Restriction on use of force 15. Service of documents 16. Presumption of authenticity of certificates 17. Penalty 18. Offences by corporations, societies, etc. 19. Offences to be cognisable; and consent of Director of Public Prosecutions 20. Proof of instigation, lawful authority or excuse 21. Jurisdiction 22. Regulations",not_provision,"This is a list of section titles or headings, not standalone legal provisions."
9,"[Date of assent: 13th June, 1950.]",not_provision,"This is a date of assent, which is metadata and not an enforceable legal rule or obligation."
10,"[Date of commencement: 13th June, 1950.]",not_provision,"This is a date indicating when the document or a part of it comes into effect, not a legal rule or obligation."
11,"An Act of Parliament to make provision for the maintenance of public order, and for purposes connected therewith [Act No. 26 of 1950, Act No. 36 of 1950, Act No. 7 of 1958, Act No. 10 of 1958, Act No. 23 of 1960, Act No. 54 of 1960, Act No. 53 of 1960, Legal Notice 402 of 1963, Legal Notice 87 of 1964, Legal Notice 2 of 1964, Act No. 3 of 1964, Act No. 19 of 1964, Legal Notice 153 of 1965, Act No. 12 of 1968, Act No. 10 of 1997, Act No. 12 of 2012, Act No. 19 of 2014.]",not_provision,"This text is a title and citation of various acts and legal notices, not a standalone legal provision."
12,This Act may be cited as the Public Order Act.,provision,"This sentence establishes the official title by which the Act can be legally referred to, which is a legal rule regarding citation."
13,"In this Act, except where the context otherwise requires—",not_provision,"This is an introductory phrase indicating definitions or exceptions may follow, but it does not establish a standalone legal rule or obligation."
14,"""Cabinet Secretary"" means the Cabinet Secretary for the time being responsible for the administration;",not_provision,"This paragraph provides a definition rather than establishing a legal rule, right, obligation, restriction, or process."
15,"""excluded meeting"" means— (a) any meeting convened and held exclusively for the lawful purposes of any public body; or (b) any meeting of the members of any registered organisation, whether corporate or unincorporate, convened in accordance with the constitution of the organisation and held exclusively for the lawful purposes of that organisation; (c) any meeting of the members of any trade union convened and held exclusively for the lawful purposes of that trade union; (d) any meeting convened and held exclusively for social, cultural, charitable, educational, commercial or industrial purposes; (e) any meeting of the organs of a political party, convened in accordance with the constitution of the party and held exclusively to discuss the affairs of the party; (f) impromptu ""meet-the-people"" tours by Members of Parliament and councillors;",provision,"This paragraph defines 'excluded meeting' by listing specific types of meetings that qualify, establishing a legal definition and criteria for exclusion."
16,"""hours of darkness"" means the hours between half-past six in the evening and half-past six on the following morning;",provision,"This paragraph defines a specific term ('hours of darkness') used within the legal document, establishing a clear rule for interpretation and application."
17,"""hours of daylight"" means the hours between half-past six in the morning and half-past six in the evening;",provision,"This paragraph defines a term, which is a common feature of legal provisions. It establishes a specific meaning for 'hours of daylight' that can be enforced or referenced in the context of the document."
18,"""meeting"" means any gathering of persons (not being an excluded meeting) convened and held for any purpose, including any political purpose;",provision,"This paragraph defines a term ('meeting') for the purposes of the legal document, establishing a rule for interpretation."
19,"""offensive weapon"" means any article made or adapted for use for causing injury to the person, or intended by the person having it in his possession or under his control for such use;",provision,"This paragraph defines a term ('offensive weapon') in a way that establishes a legal rule or standard, which is enforceable and actionable in legal contexts."
20,"""political organisation"" means any organisation which either has among its objects any political purpose or pursues any political purpose;",provision,"This paragraph defines a term, which is a key part of establishing legal rules and obligations, making it a provision."
21,"""premises"" includes any land, any building and any other place whatsoever;",provision,"This paragraph defines a term ('premises') used in the legal document, establishing a legal understanding of what is included under that term. Definitions are considered provisions as they set enforceable parameters for interpretation."
22,"""private premises"" means premises which are not public places;",provision,"This paragraph defines a term, which is a common type of legal provision as it establishes the meaning of 'private premises' within the context of the document."
23,"""public gathering"" means a public meeting, a public procession, and any other meeting, gathering or concourse of ten or more persons in any public place;",provision,"This paragraph defines a term ('public gathering') used within the legal document, establishing a specific legal meaning that can be enforced or referenced in legal contexts."
24,"""public meeting"" means any meeting held or to be held in a public place, and any meeting which the public or any section of the public or more than fifty persons are or are to be permitted to attend whether on payment or otherwise;",provision,"This paragraph defines a term used within the legal document, establishing a specific meaning for 'public meeting,' which is essential for interpreting and applying the law."
25,"""public place"" means any place to which for the time being the public or any section of the public are entitled or permitted to have access whether on payment or otherwise, and, in relation to any meeting to be held in the future, includes any place which will, on the occasion and for the purposes of such meeting, be a public place;",provision,"This paragraph defines the term 'public place' for legal purposes, establishing a rule for interpretation within the document."
26,"""public procession"" means any procession in, to or from a public place;",not_provision,"This is a definition, not a standalone legal provision. It clarifies a term used in the document but does not establish a rule or obligation."
27,"""regulating officer"" means the officer-in-charge of the police station in the area in which a proposed public meeting is proposed to be held, or in the case of a public procession, the police officer-in-charge of the police station in the area in which the procession is proposed to start and to end;",not_provision,"This paragraph provides a definition rather than establishing a legal rule, right, obligation, restriction, or process."
28,"""school"" means any premises or any part of any premises where persons are habitually or for the time being taught, whether in one class or more.",provision,"This paragraph defines the term 'school' for the purposes of the legal document, establishing a legal definition that can be enforced or referenced in the application of the law."
29,"[Act No. 7 of 1958, s. 2, Act No. 53 of 1960, s. 3, L.N. 402/1963, L.N. 153/1965, Act No. 10 of 1997, Sch.]",not_provision,"This text is a citation of amendments and legal references, not a standalone legal provision."
30,PART II – QUASI-MILITARY ORGANISATIONS AND POLITICAL UNIFORMS,not_provision,"This is a part heading, not a standalone legal provision."
31,"3.  Prohibition of organisations equipped to usurp functions of police, etc. (1)  If the members or adherents of any association of persons, whether incorporated or not, are— (a) organised or trained or equipped for the purpose of enabling them to be employed in usurping the functions of the police or of the Kenya Defence Forces; or (b) organised and trained or organised and equipped either for the purpose of enabling them to be employed for the use or display of physical force in promoting any political object, or in such manner as to arouse reasonable apprehension that they are organised and either trained or equipped for that purpose, then any member or adherent of such association shall be guilty of an offence and liable to a fine not exceeding one hundred thousand shillings or imprisonment for a term not exceeding two years, or to both such fine and such imprisonment, and any person who promotes or conspires with another to promote or who takes part in the control or management of the association, or in so organising or training or equipping as aforesaid any member or adherent thereof, shall be guilty of an offence and liable to a fine of two thousand shillings or to imprisonment for a term not exceeding three years, or to both such fine and such imprisonment:",provision,"The paragraph establishes a legal rule prohibiting certain associations from organizing or training members to usurp police or military functions, and it specifies penalties for violations, making it an enforceable legal provision."
32,"Provided that in any proceedings against a person charged with the offence of taking part in the control or management of such an association as aforesaid it shall be a defence to that charge to prove that he neither consented to nor connived at the organisation, training or equipment of members or adherents of the association in contravention of the provisions of this section.",provision,"This paragraph establishes a legal defense for a person charged with a specific offense, outlining the conditions under which the defense is applicable. It contains enforceable content related to legal proceedings."
33,(2)  No prosecution under this section shall be instituted without the consent of the Director of Public Prosecutions.,provision,"This sentence establishes a legal requirement that no prosecution can be initiated without the consent of the Director of Public Prosecutions, making it an enforceable rule."
34,"(3)  If, upon application being made by the Attorney-General, it appears to the High Court that any association is an association of which members or adherents are organised, trained or equipped in contravention of the provisions of this section, the Court may make such order as appears necessary to prevent any disposition without the leave of the Court of property held by or for the association, and may direct an inquiry and report to be made as to any such property as aforesaid and as to the affairs of the association, and may make such further orders as appear to the Court to be just and equitable for the application of such property in or towards the discharge of the liabilities of the association lawfully incurred before the date of the application or since that date with the approval of the Court, in or towards repayment of moneys to persons who became subscribers or contributors to the association in good faith and without knowledge of any such contravention as aforesaid, and in or towards any costs incurred in connexion with any such inquiry and report as aforesaid or in winding up or dissolving the association, and may order that any property which is not directed by the Court to be so applied as aforesaid shall be forfeited.",provision,"This paragraph establishes a legal process and the powers of the High Court regarding associations that contravene certain provisions. It outlines enforceable actions the Court may take, such as making orders about property and directing inquiries."
35,"(4)  In any criminal or civil proceedings under this section, proof of things done or of words written, spoken or published (whether or not in the presence of any party to the proceedings) by any person taking part in the control or management of an association or in organising, training or equipping members or adherents of an association shall be admissible as evidence of the purposes for which, or the manner in which, members or adherents of the association (whether those persons or others) were organised, or trained or equipped.",provision,"This paragraph establishes a rule regarding the admissibility of evidence in legal proceedings, specifically related to actions or words by individuals involved with an association. It outlines how such evidence can be used to demonstrate the purposes or methods of the association, making it an enforceable legal provision."
36,"(5)  If a judge of the High Court or magistrate is satisfied by information on oath that there is reasonable ground for suspecting that an offence under this section has been committed, and that evidence of the commission thereof is to be found at any premises or place specified in the information, he may, on an application made by a police officer of a rank not lower than that of Inspector, grant a search warrant authorising any such police officer named in the warrant together with any other persons named in the warrant and any other police officers to enter the premises or place at any time within one month from the date of the warrant, if necessary by force, and to search the premises or place and every person found therein, and seize anything found on the premises or place or on any such person which the officer has reasonable ground for suspecting to be evidence of the commission of such an offence as aforesaid:",provision,"This paragraph establishes a legal process for obtaining a search warrant, detailing the conditions under which it can be granted and the authority it provides to police officers."
37,"Provided that no woman shall, in pursuance of a warrant issued under this subsection, be searched except by a woman.",provision,"This paragraph establishes a legal rule regarding the conditions under which a woman can be searched, specifying that it must be done by another woman. It is enforceable and actionable."
38,"(6)  Nothing in this section shall be construed as prohibiting the employment of a reasonable number of persons as stewards to assist in the preservation of order at any public meeting held upon private premises, or the making of arrangements for that purpose or the instruction of the persons to be so employed in their lawful duties as such stewards, or their being furnished with badges or other distinguishing signs.",provision,"This paragraph establishes a legal rule regarding the employment of stewards at public meetings on private premises, detailing what is not prohibited by the section."
39,"[L.N. 87/1964, Act No. 12 of 2012, Sch., Act No. 19 of 2014, s. 2.]",not_provision,"This is a citation and reference to legal amendments and schedules, not a standalone legal provision."
40,"4.  Prohibition of uniforms, etc., in connexion with political objects (1)  The Cabinet Secretary may from time to time by order prohibit the wearing in public places or at public meetings of— (a) repealed by Act No. 10 of 1997, Sch.; (b) any uniform, distinctive dress or emblem by members or adherents of any organisation or association specified or described in the order, whether incorporated or not— (i) when, in the opinion of the Cabinet Secretary, members of that organisation or association are organised or trained or equipped for the purpose of enabling them to be employed in usurping the functions of the police or of the Defence Forces; or (ii) when, in the opinion of the Cabinet Secretary, members of that organisation or association are organised or trained or equipped for the purpose of enabling them to be employed for the use or display of physical force in promoting any political or other object or in such a manner as to arouse reasonable apprehension that they are organised or trained or equipped for that purpose.",provision,"This paragraph establishes a legal rule by granting the Cabinet Secretary the authority to prohibit certain actions related to political uniforms, which is enforceable and actionable."
41,(2)  Any person who contravenes the provisions of any order made under subsection (1) of this section shall be guilty of an offence.,provision,"This paragraph establishes a legal rule by stating that contravening certain provisions constitutes an offence, which is enforceable."
42,"[Act No. 53 of 1960, s. 5, L.N. 402/1963, L.N. 87/1964, Act No. 10 of 1997, Sch.]",not_provision,"This text is a citation and reference to legislative amendments and schedules, not a standalone legal provision."
43,PART III – PUBLIC GATHERINGS,not_provision,This is a part heading and does not contain enforceable or actionable content.
44,5.  Regulation of Public meeting and Processions (1)  No person shall hold a public meeting or a public procession except in accordance with the provisions of this section.,provision,"This paragraph establishes a legal rule by stating that public meetings or processions must comply with specific provisions, making it enforceable."
45,(2)  Any person intending to convene a public meeting or a public procession shall notify the regulating officer of such intent at least three days but not more than fourteen days before the proposed date of the public meeting or procession.,provision,This paragraph establishes a legal obligation for individuals to notify a regulating officer within a specific timeframe before convening a public meeting or procession.
