id,text,label,explanation
0,Kenya Gazette Supplement No. 30 (Acts No. 18),not_provision,This is a reference to a publication and does not contain any enforceable or actionable content.
1,"421 The Public Benefits Organizations Act, 2013",not_provision,"This is a title or citation of an act, not a standalone legal provision."
2,r NAPONAL COUNCIL FOR LAW REPORTtf43 RECEIVED,not_provision,"This text appears to be metadata or a header, not a standalone legal provision."
3,"P 0 Box 1 :'(J1(0 %AIRO - 3t, 2719231 -A,k 	694",not_provision,"The text appears to be metadata or a reference, not a legal rule or provision."
4,"PRINTED AND PUBLISHED BY THE GOVERNMENT PRINTER, NAIROBI",not_provision,"This is a publication statement, not a legal rule or provision."
5,"THE PUBLIC BENEFIT ORGANIZATIONS ACT, 2013",not_provision,"This is the title of an act, not a standalone legal provision."
6,"Date of Assent.• 14th January, 2013",not_provision,"This is a date of assent, which is metadata and not a standalone legal provision."
7,3—Objects and purposes of the Act.,not_provision,"This is a section title or heading, not a standalone legal provision."
8,4—Government's responsibility to public benefit organizations.,not_provision,This is a title or heading and does not contain enforceable or actionable content.
9,5—Meaning of public benefit organization.,not_provision,This is a section title or heading and does not contain enforceable or actionable content.
10,PART II—REGISTRATION OF PUBLIC BENEFIT,not_provision,This is a part heading and does not contain enforceable or actionable content.
11,7—Bestowing of public benefit organization status.,not_provision,"This is a title or heading, not a standalone legal provision with enforceable content."
12,"14— Service of official notices, letters, summons or legal process.",not_provision,"This is a section title or heading, not a standalone legal provision."
13,15— Register of public benefit organizations.,not_provision,"This is a title or heading, not a standalone legal provision."
14,17—Review by the Authority or appeal to the Tribunal.,not_provision,This is a section heading or title and does not establish any enforceable or actionable content.
15,18—Procedure for suspension or cancellation. — Suspension or cancellation of certificate. 19,provision,"The paragraph outlines a procedure related to the suspension or cancellation of a certificate, indicating a process or rule that is enforceable."
16,"PART III— SELF REGULATION, ADMINISTRATIVE AND",not_provision,This is a part heading and does not contain enforceable or actionable content.
17,2013 The Public Benefit Organizations No. 18,not_provision,"This appears to be a title or reference to a specific legal document, not a standalone legal provision."
18,23—Organizations may join self-regulation. — - regulation forums to develop and maintain codes of conduct. 24 Self,provision,"The paragraph establishes that organizations may join self-regulation forums to develop and maintain codes of conduct, which is an actionable and enforceable content."
19,25—Organizational integrity and internal self-regulation.,not_provision,"This is a title or heading, not a standalone legal provision."
20,26—Voluntary service on governing body.,not_provision,"This is a title or heading, not a standalone legal provision."
21,"PART IV –ESTABLISHMENT, POWERS AND FUNCTIONS OF",not_provision,This is a part heading and does not contain enforceable or actionable content.
22,35—Composition of the Board of the Authority.,not_provision,"This is a section heading or title, not a standalone legal provision."
23,36—Qualifications of members of the Board.,not_provision,"This is a title or heading, not a standalone legal provision."
24,4/1 Conduct of business and affairs of the Board.,not_provision,"This is a section heading or title, not a standalone legal provision."
25,PART V—THE PUBLIC BENEFIT ORGANIZATIONS TRIBUNAL,not_provision,This is a part heading and does not contain enforceable or actionable content.
26,2013 The Public Benefit Organizations 	No. 18,not_provision,"This appears to be a title or reference to a legal document, not a standalone legal provision."
27,"53—Disobedience of summons to give evidence, etc.",not_provision,This is a section heading and does not contain enforceable or actionable content.
28,54—Enforcement of orders for damages and costs.,not_provision,This is a title or heading and does not contain enforceable or actionable content.
29,PART VI – FINANCIAL PROVISIONS,not_provision,This is a part heading and does not contain enforceable or actionable content.
30,PART VII – MISCELLANEOUS PROVISIONS,not_provision,This is a part heading and does not contain any enforceable or actionable content.
31,"61—Voluntary deregistration, dissolution or winding-up.",not_provision,"This is a title or heading, not a standalone legal provision."
32,62—Safety of assets on deregistration.,not_provision,"This appears to be a section title or heading, not a standalone legal provision with enforceable content."
33,63—General power to institute inquiries.,provision,"The phrase 'General power to institute inquiries' suggests an actionable legal authority or power, indicating it is a provision."
34,66—Public policy and political activities,not_provision,"This appears to be a title or heading, not a standalone legal provision."
