id,text,label
0,"22/4/25, 21:34 Canada Not-for-profit Corporations Act",
1,"Canada Not-for-profit Corporations Act (S.C. (Statutes of Canada) 2009, c. 23) Act current to 2025-03-17 and on 2022-08-31.",
2,"S.C. (Statutes of Canada) 2009, c. 23",
3,An Act respecting not-for-profit corporations and certain other corporations,
4,"Her Majesty, by and with the advice and consent of the Senate and House of Commons of",
5,1 This Act may be cited as the Canada Not-for-profit Corporations Act.,
6,2 (1) The following definitions apply in this Act.,
7,activities includes any conduct of a corporation to further its purpose and any business,
8,"carried on by a body corporate, but does not include the affairs of a body corporate. (activité)",
9,"affairs means the relationships among a corporation, its affiliates and the directors, officers,",
10,shareholders or members of those bodies corporate. (affaires internes),
11,"articles means original or restated articles of incorporation or articles of amendment,",
12,"amalgamation, continuance, reorganization, arrangement, dissolution or revival. (statuts)",
13,body corporate includes a company or other organization with legal personality wherever or,
14,corporation means a body corporate incorporated or continued under this Act and not,
15,discontinued under this Act. (organisation),
16,"(a) in Newfoundland and Labrador, the Trial Division of the Supreme Court of the province;",
17,"(b) in Ontario, the Superior Court of Justice;",
18,"(c) in Nova Scotia, British Columbia and Prince Edward Island, the Supreme Court of the",
19,"(d) in Manitoba, Saskatchewan, Alberta and New Brunswick, the Court of Queen’s Bench",
20,"(e) in Quebec, the Superior Court of the province; and",
21,"(f) in Yukon and the Northwest Territories, the Supreme Court of the territory, and in",
22,"Nunavut, the Nunavut Court of Justice. (tribunal)",
23,creditor includes a debt obligation holder. (créancier),
24,"debt obligation means a bond, debenture, note or other evidence of indebtedness or",
25,"guarantee of a corporation, whether secured or unsecured. (titre de créance)",
26,Director means an individual appointed under section 281. (directeur),
27,director means an individual occupying the position of director by whatever name called.,
28,"entity means a body corporate, a partnership, a trust, a joint venture or an unincorporated",
29,"incapable, in respect of an individual, means that the individual is found, under the laws of a",
30,"province, to be unable, other than by reason of minority, to manage their property or is",
31,declared to be incapable by any court in a jurisdiction outside Canada. (incapable),
32,incorporator means a person who signs articles of incorporation. (fondateur),
33,issuer means a corporation that is required by this Act to maintain a debt obligations register.,
34,"officer means an individual appointed as an officer under section 142, the chairperson of the",
35,"board of directors, the president, a vice-president, the secretary, the treasurer, the comptroller,",
36,"the general counsel, the general manager or a managing director of a corporation, or any other",
37,individual who performs functions for a corporation similar to those normally performed by an,
38,individual occupying any of those offices. (dirigeant),
39,ordinary resolution means a resolution passed by a majority of the votes cast on that,
40,person means an individual or entity. (personne),
41,personal representative means a person who stands in place of and represents another,
42,"person, including a trustee, an executor, an administrator, a receiver, an agent, a mandatary, a",
43,"liquidator of a succession, a guardian, a tutor, a curator or a legal counsel. (représentant",
44,prescribed means prescribed by the regulations. (Version anglaise seulement),
45,prior legislation means the various Acts of Parliament that were in force prior to the coming,
46,into force of this Act and that applied to the incorporation of federal companies under those,
47,"Acts, other than any financial institution as defined in section 2 of the Bank Act. (législation",
48,"public accountant, in respect of a corporation, means the public accountant appointed for the",
49,corporation under paragraph 127(1)(e) or subsection 181(1) or 186(1) or who fills a vacancy,
50,under subsection 184(2) or 185(1). (expert-comptable),
51,series means a division of a class of debt obligations. (série),
52,soliciting corporation means a corporation that is referred to in subsection (5.1).,
53,(organisation ayant recours à la sollicitation),
54,special resolution means a resolution passed by a majority of not less than two thirds of the,
55,votes cast on that resolution. (extraordinaire),
56,unanimous member agreement means an agreement described in subsection 170(1) or a,
57,declaration of a member described in subsection 170(2). (convention unanime des membres),
58,"(2) For the purposes of this Act,",
59,(a) one body corporate is the affiliate of another body corporate if one of them is the,
60,subsidiary of the other or both are subsidiaries of the same body corporate or each of them,
61,is controlled by the same person; and,
62,"(b) if two bodies corporate are affiliates of the same body corporate at the same time, they",
