id,text,label
0,Kenya Gazette Supplement No. 30 (Acts No. 18),
1,"421 The Public Benefits Organizations Act, 2013",
2,r NAPONAL COUNCIL FOR LAW REPORTtf43 RECEIVED,
3,"P 0 Box 1 :'(J1(0 %AIRO - 3t, 2719231 -A,k 	694",
4,"PRINTED AND PUBLISHED BY THE GOVERNMENT PRINTER, NAIROBI",
5,"THE PUBLIC BENEFIT ORGANIZATIONS ACT, 2013",
6,"Date of Assent.• 14th January, 2013",
7,3—Objects and purposes of the Act.,
8,4—Government's responsibility to public benefit organizations.,
9,5—Meaning of public benefit organization.,
10,PART II—REGISTRATION OF PUBLIC BENEFIT,
11,7—Bestowing of public benefit organization status.,
12,"14— Service of official notices, letters, summons or legal process.",
13,15— Register of public benefit organizations.,
14,17—Review by the Authority or appeal to the Tribunal.,
15,18—Procedure for suspension or cancellation. — Suspension or cancellation of certificate. 19,
16,"PART III— SELF REGULATION, ADMINISTRATIVE AND",
17,2013 The Public Benefit Organizations No. 18,
18,23—Organizations may join self-regulation. — - regulation forums to develop and maintain codes of conduct. 24 Self,
19,25—Organizational integrity and internal self-regulation.,
20,26—Voluntary service on governing body.,
21,"PART IV –ESTABLISHMENT, POWERS AND FUNCTIONS OF",
22,35—Composition of the Board of the Authority.,
23,36—Qualifications of members of the Board.,
24,4/1 Conduct of business and affairs of the Board.,
25,PART V—THE PUBLIC BENEFIT ORGANIZATIONS TRIBUNAL,
26,2013 The Public Benefit Organizations 	No. 18,
27,"53—Disobedience of summons to give evidence, etc.",
28,54—Enforcement of orders for damages and costs.,
29,PART VI – FINANCIAL PROVISIONS,
30,PART VII – MISCELLANEOUS PROVISIONS,
31,"61—Voluntary deregistration, dissolution or winding-up.",
32,62—Safety of assets on deregistration.,
33,63—General power to institute inquiries.,
34,66—Public policy and political activities,
35,70—Repeal of No. 19 of 1990. 71—Transition.,
36,FIRST SCHEDULE—PRINCIPLES FOR EFFECTIVE COLLABORATION BETWEEN THE GOVERNMENT AND PUBLIC BENEFIT ORGANIZATIONS,
37,THIRD SCHEDULE—PROCEDURE FOR NOMINATING MEMBERS OF THE BOARD OF THE AUTHORITY,
38,FOURTH SCHEDULE— PROVISIONS AS TO THE CONDUCT OF BUSINESS AND AFFAIRS OF THE BOARD OF THE AUTHORITY,
39,No. 18 The Public Benefit Organizations 2013,
40,SIXTH SCHEDULE— DESCRIPTION OF AREAS FOR WHICH AN ORGANIZATION MAY BE REGISTERED,
41,"THE PUBLIC BENEFIT ORGANIZATIONS ACT, 20132",
42,AN ACT of Parliament to provide for the establishment and operation of public benefit organisations; to provide for their registration; to establish an administrative and regulatory framework within which public benefit organisations can conduct their affairs and for connected purposes,
43,"Recognizing the important role that public benefit organizations play in serving the public good, supporting development, social cohesion and tolerance within society; promoting democracy, respect for the rule of law, and providing accountability mechanisms that can contribute to improved governance;",
44,"Conscious that government, business or public benefit organisations on their own, do not have the capability to meet all the challenges that society faces;",
45,Cognizant that the public benefit organizations are increasingly involved in complementing the county and national government in all spheres of public service delivery and of the primary role of Government of Kenya as the duty bearer;,
46,"Perceptive that the realization of Kenya's development goals depend on the contribution of not only the public and private sectors, but public benefit organizations as well;",
47,"Recognizing that public benefit organizations, comprises a major economic sector that employs almost half as many people as the public sector;",
48,"Mindful that effective and efficient self-regulation is the basic foundation for an effective working civil society sector and keen to ensure that public benefit organizations maintain high standards of governance, transparency and accountability;",
49,Observant that the efforts to establish an enabling environment for public benefit organizations have been on-going and the current legislative framework is in need of revision as it does not provide an adequate regulatory and institutional framework for public benefit organizations;,
50,"Cognizant that laws permitting public benefit organizations to exist and operate freely are indispensable to the full and meaningful implementation of the freedoms of association, expression, and peaceful assembly in the",
51,2013 No. 18 The Public Benefit Organizations,
52,"Constitution, as well as increased development effectiveness through better service delivery, and empowerment of Kenyans;",
53,"BE IT ENACTED by the Parliament of Kenya, as follows—",
54,"Short title and 	1. This Act may be cited as the Public Benefits Organizations Act, 2013 and shall come into operation on commencement. such date as the Cabinet Secretary may, by notice in the Gazette, appoint.",
55,"2. (1) In this Act, unless the context otherwise Interpretation. requires—",
56,"""Authority"" means the Public Benefit Organizations Regulatory Authority established under section 34;",
57,"""authorized agent"" means a legal representative, who is a Kenyan citizen, authorized to receive official summonses, notices and inquiries on behalf of an international non- governmental organization;",
58,"""Board"" means the Board of the Authority established under section 35;",
59,"""Cabinet Secretary"" means the Cabinet Secretary for the time being responsible for matters relating to planning and national development;",
60,"""Federation"" means the National Federation of Public Benefit Organizations established under section 21;",
61,"""international non-governmental organization"" means a non-governmental organization with its original registration being in a country other than Kenya and operating in Kenya under a certificate of registration issued under section 10 of this Act;",
62,"""public benefit activity"" means an activity that supports or promotes public benefit by enhancing or promoting the economic, environmental, social or cultural development or protecting the environment or lobbying or advocating on issues of general public interest or the interest or well-being of the general public or a category of individuals or organizations;",
63,"""register"" means the register kept by the Authority pursuant to section 15; and",
64,"""Tribunal"" means the Public Benefit Organizations Disputes Tribunal established under section 50.",
65,3. The objects and purposes of this Act are to— Objects and purposes of the (a) encourage and support public benefit Act. organisations in their contribution to meeting the diverse needs of the people of Kenya by—,
66,(i) creating a conducive environment for the growth of the public benefit organizations sector and for the operations of the registered public benefit organizations;,
67,(ii) establishing an administrative and regulatory framework within which public benefit organisations can conduct their affairs;,
68,"(iii) encouraging public benefit organisations to maintain high standards of governance, transparency and accountability and to improve those standards;",
69,(iv) creating an environment within which the public may have access to information concerning registered public benefit organisations; and,
70,(v) promoting a spirit of co- operation and 	shared responsibility within government and among donors and other interested persons in their dealings with public benefit organisations;,
71,"(b) give meaningful protection to the internationally recognized freedoms of expression, association, and peaceful assembly;",
72,(c) promote the development of self- regulation among public benefit organizations;,
73,(d) promote compliance by public benefit,
74,organisations with their legal obligations to exercise effective control and management over the administration of their activities and funding;,
75,"(e) facilitate a constructive and principled collaboration between public benefit organisations, the Government, business, donors and other actors in order to advance public interest;",
76,"provide registration procedures, which are transparent, and which will facilitate establishment of public while benefit 	organizations safeguarding freedom of association;",
77,"facilitate mechanisms for government (g) collaboration with public benefit organizations, including funding of public benefit organizations activities and involvement of public benefit organizations in the implementation of government projects;",
78,"(h) facilitate the establishment and growth of public benefit organizations in order to generally strengthen civil society, promote social welfare and improve the conditions and quality of life for the people of Kenya.",
79,"4.(1) Consistent with its obligation to respect the Government's freedoms of association and assembly, it is the duty of the responsibility to Government to provide an enabling environment for public public benefit benefit organizations to be established and to operate. organizations.",
80,"(2) Every State organ shall determine and co- ordinate the implementation of its policies and measures in a manner designed to promote, support and provide an enabling environment for public benefit organizations to perform their functions.",
81,(3) The Government and all public benefit organizations shall comply with the principles for effective collaboration set out in the First Schedule.,
82,"5.(1) In this Act, ""public benefit organization"" means Meaning of a voluntary membership or non-membership grouping of public benefit",
83,"individuals or organizations, which is autonomous, non- organization. partisan, non-profit making and which is-",
84,"(a) organized and operated locally, nationally or internationally;",
85,(b) engages in public benefit activities in any of the 'Areas set out in the Sixth Schedule; and,
86,(c) is registered as such by the Authority.,
87,"(2) For greater certainty, a public benefit organization does not include-",
88,"(a) a trade union within the meaning of the No. 14 of 2007. Labour Relations Act, 2007;",
89,(b) a public body established by or under any written law;,
90,"(c) a political party within the meaning of the Political Parties Act, 2007; No. 10 of 2007. (d) a religious organization which is primarily devoted to religious teaching or worship;",
91,(e) a society within the meaning of the Cap. 108. Societies Act;,
92,(f) a co-operative society within the Cap. 469. meaning of the Co-operative Societies. Act;,
93,No. 14 of 2008. (g) a Sacco society within the meaning of the Sacco Societies Act;,
94,(h) a micro-fmance institution within the No. 19 of 2006. meaning of the Micro-Finance Institutions Act;,
95,(i) a community based organization whose objective include the direct benefit of its members.,
96,PART II—REGISTRATION OF PUBLIC BENEFIT ORGANIZATIONS,
97,6. (1) A public benefit organization shall be registered Registration. under this Act for it to enjoy the benefits that accrue under this Act.,
98,(2) No organization that is registered under any other,
99,law in Kenya shall be registered under this Act while its registration under that other law subsists.,
100,"(3) Without prejudice to subsection (1), registration of an organization under this Act supersedes any prior registration of that organization under any other law in Kenya.",
101,"(4) Where an organization is registered under this Act and under any other law, that organization shall be deemed registered under this Act and that other registration shall be deemed invalid.",
102,"(5) Organizations shall be deemed to be similar under this section if the name, objects and the officials, taken together, are similar whether wholly or partially.",
103,7. No organization shall purport to be a public benefit Bestowing of public benefit 	organization unless that organization is-,
104,"organization registered under this Act; (a) status. where registered under any other written law (b) in Kenya or not registered under any other written law in Kenya, the Authority has bestowed on that organization the status of a public benefit organization.",
105,8. (1) An application for registration under this Act Requirements shall be made to the Authority. for registration.,
106,(2) An application for registration shall be accompanied by—,
107,a copy of the constitution or other (a) constitutive document of the public benefit organization;,
108,names and addresses of the founders (b) of the public benefit organization;,
109,the public benefit purposes for which (c) the public benefit organization is organized and operated and all of the principal activities that the public benefit organization shall engage in;,
110,the postal and physical address of the (d) principal place of doing business of the public benefit organization;,
111,No. 18 2013 The Public Benefit Organizations,
112,(e) the prescribed fee; and,
113,such other particulars or information (f) as may be required by the Authority in order to assist the Authority to determine whether or not the organization meets the requirements for registration under this Act.,
114,(3) An international non-governmental organization may register as a public benefit organization by filing the following documentation—,
115,(b) proof that it is a legal entity in another country;,
116,(c) the organization's address in Kenya; and,
117,a written statement from a (d) representative of the organization's headquarters with authority to provide such statement stating—,
118,(i) the purposes of the international non- governmental organization;,
119,(ii) a general description of the activities that the international non-governmental organization is planning to carry out in Kenya; and,
120,"(iii) the name, address and other contact information of the authorized agent.",
121,(4) The constitution of a public benefit organization that intends to register shall—,
122,(ii) the objectives of the organization;,
123,(iii) that participation in and membership of the public benefit organization shall be,
124,The Public Benefit Organizations No. 18 2013,
125,"(iv) that the organization's income and property are not distributable to any person, except as reimbursement of reasonable expenses or payment of reasonable compensation for services rendered;",
126,(b) make provision for the organization to be a body corporate and have an identity and existence distinct from its members or governing body;,
127,(c) ensure that the members or governing body have no rights in the property or other assets of the organization solely by virtue of their being members or the governing body;,
128,(d) specify the organizational structures and mechanisms for its governance;,
